area,Latitude,Longitude,Year,Outbreak,Source,File Name
eastern and southeastern quebec,48.450155,-68.529968,1905,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
eastern and southeastern quebec,48.450155,-68.529968,1906,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
eastern and southeastern quebec,48.450155,-68.529968,1907,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
eastern and southeastern quebec,48.450155,-68.529968,1908,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
eastern and southeastern quebec,48.450155,-68.529968,1909,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
eastern and southeastern quebec,48.450155,-68.529968,1910,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
eastern and southeastern quebec,48.450155,-68.529968,1911,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
eastern and southeastern quebec,48.450155,-68.529968,1912,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
eastern and southeastern quebec,48.450155,-68.529968,1913,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
eastern and southeastern quebec,48.450155,-68.529968,1914,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
eastern and southeastern quebec,48.450155,-68.529968,1915,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
eastern and southeastern quebec,48.450155,-68.529968,1916,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
eastern and southeastern quebec,48.450155,-68.529968,1917,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
