area,Latitude,Longitude,Year,Outbreak,Source,File Name
southern quebec,45.5031824,-73.5698065,1905,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
southern quebec,45.5031824,-73.5698065,1906,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
southern quebec,45.5031824,-73.5698065,1907,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
southern quebec,45.5031824,-73.5698065,1908,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
southern quebec,45.5031824,-73.5698065,1909,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
southern quebec,45.5031824,-73.5698065,1910,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
southern quebec,45.5031824,-73.5698065,1911,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
southern quebec,45.5031824,-73.5698065,1912,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
southern quebec,45.5031824,-73.5698065,1913,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
southern quebec,45.5031824,-73.5698065,1914,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
southern quebec,45.5031824,-73.5698065,1915,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
southern quebec,45.5031824,-73.5698065,1916,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
southern quebec,45.5031824,-73.5698065,1917,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
southern quebec,45.5031824,-73.5698065,1918,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
southern quebec,45.5031824,-73.5698065,1919,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
southern quebec,45.5031824,-73.5698065,1920,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
southern quebec,45.5031824,-73.5698065,1921,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
southern quebec,45.5031824,-73.5698065,1922,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
southern quebec,45.5031824,-73.5698065,1923,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
