area,Latitude,Longitude,Year,Outbreak,Source,File Name,Study
green river,41.5290933,-109.466473,1954,1,No identified sources,Prevalence_of_baculoviruses_in_spruce_budworm_Lepidoptera_Tortricidae_populations_in_New_Brunswick.pdf,
green river,41.5290933,-109.466473,1955,1,No identified sources,Prevalence_of_baculoviruses_in_spruce_budworm_Lepidoptera_Tortricidae_populations_in_New_Brunswick.pdf,
green river,41.5290933,-109.466473,1956,1,No identified sources,Prevalence_of_baculoviruses_in_spruce_budworm_Lepidoptera_Tortricidae_populations_in_New_Brunswick.pdf,
green river,41.5290933,-109.466473,1957,1,No identified sources,Prevalence_of_baculoviruses_in_spruce_budworm_Lepidoptera_Tortricidae_populations_in_New_Brunswick.pdf,
green river,41.5290933,-109.466473,1958,1,No identified sources,Prevalence_of_baculoviruses_in_spruce_budworm_Lepidoptera_Tortricidae_populations_in_New_Brunswick.pdf,
"northern wisconsin, usa",45.636623,-89.412075,1987,1,aerial defoliation survey,Remote_sensing_of_forest_pest_damage_a_review_and_lessons_learned_from_a_Canadian_perspective.pdf,
"northern wisconsin, usa",45.636623,-89.412075,1988,1,aerial defoliation survey,Remote_sensing_of_forest_pest_damage_a_review_and_lessons_learned_from_a_Canadian_perspective.pdf,
"northern wisconsin, usa",45.636623,-89.412075,1989,1,aerial defoliation survey,Remote_sensing_of_forest_pest_damage_a_review_and_lessons_learned_from_a_Canadian_perspective.pdf,
"northern wisconsin, usa",45.636623,-89.412075,1990,1,aerial defoliation survey,Remote_sensing_of_forest_pest_damage_a_review_and_lessons_learned_from_a_Canadian_perspective.pdf,
"northern wisconsin, usa",45.636623,-89.412075,1991,1,aerial defoliation survey,Remote_sensing_of_forest_pest_damage_a_review_and_lessons_learned_from_a_Canadian_perspective.pdf,
"northern wisconsin, usa",45.636623,-89.412075,1992,1,aerial defoliation survey,Remote_sensing_of_forest_pest_damage_a_review_and_lessons_learned_from_a_Canadian_perspective.pdf,
"northern wisconsin, usa",45.636623,-89.412075,1993,1,aerial defoliation survey,Remote_sensing_of_forest_pest_damage_a_review_and_lessons_learned_from_a_Canadian_perspective.pdf,
"ontario, canada",48.477473,-81.330414,1992,1,aerial defoliation survey,Remote_sensing_of_forest_pest_damage_a_review_and_lessons_learned_from_a_Canadian_perspective.pdf,
"saskatchewan, canada",53.201097,-105.748901,1988,1,aerial defoliation survey,Remote_sensing_of_forest_pest_damage_a_review_and_lessons_learned_from_a_Canadian_perspective.pdf,
"northwestern new brunswick, canada",47.364409,-68.328094,1950,1,No identified sources,(2)Impact of a spruce budworm outbreak in balsam fir and subsequent stand development over a 40-year period.pdf,
"northwestern new brunswick, canada",47.364409,-68.328094,1970,1,No identified sources,(2)Impact of a spruce budworm outbreak in balsam fir and subsequent stand development over a 40-year period.pdf,
"northwestern new brunswick, canada",47.364409,-68.328094,1971,1,No identified sources,(2)Impact of a spruce budworm outbreak in balsam fir and subsequent stand development over a 40-year period.pdf,
