area,Latitude,Longitude,Year,Outbreak,Source,File Name,Study
"northern alberta, canada",56.7291997,-111.3885221,1971,1,aerial defoliation survey | survey from insect laboratory,11652.pdf,
"armstrong, maniwaki, and chic6utimi areas",46.3778839,-75.9807967,1940,1,No identified sources,11814.pdf,
"armstrong, maniwaki, and chic6utimi areas",46.3778839,-75.9807967,1941,1,No identified sources,11814.pdf,
"armstrong, maniwaki, and chic6utimi areas",46.3778839,-75.9807967,1942,1,No identified sources,11814.pdf,
"armstrong, maniwaki, and chic6utimi areas",46.3778839,-75.9807967,1943,1,No identified sources,11814.pdf,
"armstrong, maniwaki, and chic6utimi areas",46.3778839,-75.9807967,1944,1,No identified sources,11814.pdf,
"armstrong, maniwaki, and chic6utimi areas",46.3778839,-75.9807967,1945,1,No identified sources,11814.pdf,
"armstrong, maniwaki, and chic6utimi areas",46.3778839,-75.9807967,1946,1,No identified sources,11814.pdf,
"armstrong, maniwaki, and chic6utimi areas",46.3778839,-75.9807967,1947,1,No identified sources,11814.pdf,
"armstrong, maniwaki, and chic6utimi areas",46.3778839,-75.9807967,1948,1,No identified sources,11814.pdf,
"armstrong, maniwaki, and chic6utimi areas",46.3778839,-75.9807967,1949,1,No identified sources,11814.pdf,
"armstrong, maniwaki, and chic6utimi areas",46.3778839,-75.9807967,1950,1,No identified sources,11814.pdf,
