area,Latitude,Longitude,Year,Outbreak,Source,File Name,Study
"nova scotia, canada",44.648618,-63.5859487,1846,1,aerial defoliation survey,er-2020-0015.pdf,
"nova scotia, canada",44.648618,-63.5859487,1891,1,aerial defoliation survey,er-2020-0015.pdf,
"nova scotia, canada",44.648618,-63.5859487,1892,1,aerial defoliation survey,er-2020-0015.pdf,
"nova scotia, canada",44.648618,-63.5859487,1893,1,aerial defoliation survey,er-2020-0015.pdf,
"nova scotia, canada",44.648618,-63.5859487,1894,1,aerial defoliation survey,er-2020-0015.pdf,
"nova scotia, canada",44.648618,-63.5859487,1895,1,aerial defoliation survey,er-2020-0015.pdf,
"nova scotia, canada",44.648618,-63.5859487,1896,1,aerial defoliation survey,er-2020-0015.pdf,
"nova scotia, canada",44.648618,-63.5859487,1911,1,aerial defoliation survey,er-2020-0015.pdf,
"nova scotia, canada",44.648618,-63.5859487,1912,1,aerial defoliation survey,er-2020-0015.pdf,
"nova scotia, canada",44.648618,-63.5859487,1913,1,aerial defoliation survey,er-2020-0015.pdf,
"nova scotia, canada",44.648618,-63.5859487,1914,1,aerial defoliation survey,er-2020-0015.pdf,
"nova scotia, canada",44.648618,-63.5859487,1915,1,aerial defoliation survey,er-2020-0015.pdf,
"nova scotia, canada",44.648618,-63.5859487,1922,1,aerial defoliation survey,er-2020-0015.pdf,
"nova scotia, canada",44.648618,-63.5859487,1923,1,aerial defoliation survey,er-2020-0015.pdf,
"nova scotia, canada",44.648618,-63.5859487,1924,1,aerial defoliation survey,er-2020-0015.pdf,
"nova scotia, canada",44.648618,-63.5859487,1925,1,aerial defoliation survey,er-2020-0015.pdf,
"nova scotia, canada",44.648618,-63.5859487,1926,1,aerial defoliation survey,er-2020-0015.pdf,
"nova scotia, canada",44.648618,-63.5859487,1927,1,aerial defoliation survey,er-2020-0015.pdf,
"nova scotia, canada",44.648618,-63.5859487,1936,1,aerial defoliation survey,er-2020-0015.pdf,
"nova scotia, canada",44.648618,-63.5859487,1951,1,aerial defoliation survey,er-2020-0015.pdf,
"nova scotia, canada",44.648618,-63.5859487,1952,1,aerial defoliation survey,er-2020-0015.pdf,
"nova scotia, canada",44.648618,-63.5859487,1953,1,aerial defoliation survey,er-2020-0015.pdf,
"nova scotia, canada",44.648618,-63.5859487,1954,1,aerial defoliation survey,er-2020-0015.pdf,
"nova scotia, canada",44.648618,-63.5859487,1955,1,aerial defoliation survey,er-2020-0015.pdf,
"nova scotia, canada",44.648618,-63.5859487,1970,1,aerial defoliation survey,er-2020-0015.pdf,
"nova scotia, canada",44.648618,-63.5859487,1970,1,aerial defoliation survey,er-2020-0015.pdf,
"nova scotia, canada",44.648618,-63.5859487,1971,1,aerial defoliation survey,er-2020-0015.pdf,
"nova scotia, canada",44.648618,-63.5859487,1971,1,aerial defoliation survey,er-2020-0015.pdf,
