area,latitude,longitude,year,outbreak,file_name,study
quebec,46.8137431,-71.2084061,1990,yes,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
ontario,45.4208777,-75.6901106,1995,no,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
alaska,58.3019496,-134.419734,2015,no,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
abitibi region quebec,48.2420524,-79.0205378,1993,yes,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
eastern canadian boreal forests,48.390458,-77.242813,1905,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1906,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1907,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1908,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1909,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1910,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1911,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1912,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1913,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1914,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1915,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1916,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1917,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1918,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1919,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1920,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1921,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1922,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1923,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1924,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1925,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1926,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1927,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1928,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1929,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1930,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1935,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1936,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1937,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1938,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1939,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1940,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1941,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1942,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1943,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1944,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1945,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1946,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
